DepTime,ArrDelay,DayOfWeek,FlightNum,Origin,Dest,DepHour,IsWeekend
860.0,31.0,5,1615,ORD,SEA,8.0,0
1294.0,1.0,4,293,JFK,SEA,12.0,0
1130.0,-2.0,4,1285,ORD,BOS,11.0,0
1095.0,18.0,4,446,DFW,BOS,10.0,0
1638.0,-1.0,5,1050,LAX,MIA,16.0,0
2169.0,113.0,7,1484,ATL,MIA,21.0,1
466.0,-12.0,6,1892,DFW,SFO,4.0,1
1238.0,-13.0,4,1707,JFK,SEA,12.0,0
330.0,-30.0,2,1210,ATL,SEA,3.0,0
1482.0,47.0,5,1385,LAX,BOS,14.0,0
2135.0,84.0,4,313,DFW,SFO,21.0,0
130.0,82.0,7,1788,ATL,SEA,1.0,1
1685.0,83.0,6,1845,DFW,SFO,16.0,1
769.0,32.0,5,672,DFW,SFO,7.0,0
2391.0,101.0,3,879,LAX,BOS,23.0,0
1515.0,98.0,6,361,ORD,SFO,15.0,1
1215.0,-23.0,2,829,ATL,MIA,12.0,0
955.0,24.0,4,382,LAX,MIA,9.0,0
2324.0,72.0,7,1771,DFW,DEN,23.0,1
1184.0,100.0,3,1590,LAX,BOS,11.0,0
459.0,1.0,7,1503,ORD,DEN,4.0,1
21.0,-21.0,3,461,ATL,MIA,0.0,0
2300.0,79.0,5,1572,ORD,DEN,23.0,0
747.0,93.0,3,540,JFK,BOS,7.0,0
474.0,56.0,2,192,ATL,BOS,4.0,0
1082.0,24.0,2,1744,ORD,SFO,10.0,0
2047.0,1.0,1,852,DFW,SEA,20.0,0
975.0,104.0,2,966,ATL,SFO,9.0,0
1806.0,62.0,6,1547,ATL,BOS,18.0,1
189.0,-23.0,3,241,LAX,MIA,1.0,0
562.0,34.0,2,1414,DFW,MIA,5.0,0
1899.0,26.0,5,1555,JFK,SFO,18.0,0
1267.0,36.0,7,848,ORD,BOS,12.0,1
1528.0,41.0,7,1975,LAX,MIA,15.0,1
646.0,23.0,1,1947,ORD,BOS,6.0,0
2068.0,36.0,7,1812,JFK,MIA,20.0,1
2214.0,20.0,3,752,JFK,BOS,22.0,0
1297.0,66.0,1,800,ATL,DEN,12.0,0
600.0,61.0,3,1097,JFK,BOS,6.0,0
2363.0,-23.0,5,148,ORD,BOS,23.0,0
2061.0,4.0,1,1425,DFW,SFO,20.0,0
241.0,65.0,4,980,DFW,DEN,2.0,0
1363.0,47.0,6,1259,ORD,SFO,13.0,1
2139.0,1.0,3,654,ORD,SEA,21.0,0
1390.0,89.0,7,503,JFK,MIA,13.0,1
1478.0,15.0,4,991,ORD,SEA,14.0,0
775.0,113.0,1,964,LAX,BOS,7.0,0
